y+ uu+ vv+ ww+
1.348300000000000054e+00 2.763110000000000288e-01 3.018895367915199889e-04 7.482110000000000150e-02
1.816330000000000000e+00 4.977236678048179153e-01 8.626779999999999692e-04 1.212572887383079889e-01
2.313940000000000108e+00 7.970420000000000282e-01 1.943075012725783372e-03 1.763200000000000323e-01
2.811560000000000059e+00 1.155832475436807671e+00 3.651960000000000102e-03 2.341558570642907622e-01
3.340549999999999908e+00 1.590039999999999898e+00 6.290180778940928502e-03 2.967280000000001028e-01
3.869540000000000202e+00 2.064006600596212770e+00 9.854059999999999556e-03 3.589446848594359807e-01
4.431790000000000340e+00 2.593329999999999913e+00 1.471932154440588718e-02 4.237250000000000183e-01
4.994040000000000035e+00 3.130367753804407904e+00 2.071510000000000018e-02 4.864164076025991879e-01
5.591540000000000177e+00 3.691300000000000026e+00 2.832787354187910056e-02 5.504890000000000061e-01
6.189040000000000319e+00 4.225238610503934567e+00 3.718569999999998821e-02 6.118407212232130910e-01
6.823879999999999946e+00 4.750229999999999286e+00 4.790782952936579325e-02 6.741179999999999950e-01
7.458719999999999573e+00 5.221478995964194958e+00 5.990309999999999385e-02 7.335224647750044902e-01
8.133100000000000662e+00 5.658599999999999852e+00 7.394377217947764591e-02 7.936260000000000536e-01
8.807479999999999976e+00 6.028391500525626334e+00 8.921110000000001539e-02 8.507806645602027373e-01
9.523710000000001230e+00 6.350219999999998421e+00 1.066393394182028609e-01 9.083619999999998917e-01
1.023990000000000045e+01 6.603741659196937341e+00 1.251770000000000382e-01 9.628168497890963184e-01
1.100040000000000084e+01 6.805839999999999002e+00 1.459190650070547879e-01 1.017279999999999962e+00
1.176099999999999923e+01 6.947421053200670826e+00 1.675939999999999930e-01 1.068344152392454616e+00
1.256830000000000069e+01 7.041150000000000020e+00 1.914403064805725307e-01 1.118910000000000071e+00
1.337560000000000038e+01 7.086463340168324798e+00 2.159760000000000568e-01 1.165841719589763015e+00
1.423240000000000016e+01 7.091219999999999857e+00 2.425779496214572062e-01 1.211810000000000276e+00
1.508929999999999971e+01 7.060586825032648228e+00 2.695819999999999883e-01 1.253984382588054336e+00
1.599840000000000018e+01 6.997799999999999798e+00 2.984752104041546450e-01 1.294810000000000239e+00
1.690749999999999886e+01 6.911627694180621617e+00 3.274430000000000396e-01 1.331863722232779601e+00
1.787180000000000035e+01 6.801359999999999850e+00 3.580654121217274333e-01 1.367340000000000000e+00
1.883609999999999829e+01 6.677722910445357485e+00 3.884190000000000142e-01 1.399187878555644637e+00
1.985859999999999914e+01 6.537009999999999543e+00 4.201453037092908183e-01 1.429359999999999964e+00
2.088119999999999976e+01 6.390790940738454218e+00 4.512629999999999697e-01 1.456207255311138038e+00
2.196509999999999962e+01 6.233249999999999957e+00 4.834393210012520870e-01 1.481409999999999894e+00
2.304909999999999926e+01 6.076007973161018150e+00 5.146800000000000264e-01 1.503642153237168211e+00
2.419780000000000086e+01 5.911889999999999645e+00 5.466565681693229539e-01 1.524340000000000028e+00
2.534639999999999915e+01 5.752150858583966908e+00 5.773930000000000451e-01 1.542465712451537740e+00
2.656319999999999837e+01 5.588870000000000005e+00 6.085363151986259433e-01 1.559209999999999985e+00
2.778010000000000090e+01 5.432587499477555149e+00 6.381859999999998090e-01 1.573752404869682486e+00
2.906859999999999999e+01 5.275199999999999889e+00 6.679229095348601097e-01 1.587040000000000006e+00
3.035709999999999908e+01 5.126377478956858802e+00 6.959520000000001261e-01 1.598424920662686377e+00
3.172100000000000009e+01 4.978099999999999525e+00 7.237700856183462150e-01 1.608630000000000004e+00
3.308480000000000132e+01 4.839130533652295618e+00 7.497180000000001066e-01 1.617145967147924468e+00
3.452790000000000248e+01 4.701749999999999652e+00 7.751918028954043471e-01 1.624519999999999964e+00
3.597090000000000032e+01 4.573782909474635616e+00 7.986959999999999615e-01 1.630404031252337571e+00
3.749699999999999989e+01 4.448030000000000150e+00 8.215006298455996836e-01 1.635190000000000143e+00
3.902320000000000277e+01 4.331434465992654026e+00 8.423009999999997444e-01 1.638669260653507154e+00
4.063640000000000185e+01 4.217389999999999084e+00 8.622298432657394818e-01 1.641059999999999963e+00
4.224960000000000093e+01 4.112009458151942631e+00 8.801790000000000447e-01 1.642243835564384025e+00
4.395400000000000063e+01 4.009249999999999758e+00 8.971444859599541077e-01 1.642270000000000341e+00
4.565840000000000032e+01 3.914456095796821078e+00 9.122129999999998295e-01 1.641119616499295164e+00
4.745819999999999794e+01 3.822090000000000209e+00 9.262378465468603661e-01 1.638730000000000020e+00
4.925800000000000267e+01 3.736767237954153664e+00 9.384919999999999929e-01 1.635243595357940505e+00
5.115740000000000265e+01 3.653540000000000010e+00 9.496837844599972378e-01 1.630500000000000060e+00
5.305689999999999884e+01 3.576536558416648859e+00 9.592550000000000798e-01 1.624794278074013887e+00
5.506040000000000134e+01 3.501360000000000028e+00 9.677693562817724082e-01 1.617879999999999985e+00
5.706389999999999674e+01 3.431709708184536467e+00 9.748239999999999128e-01 1.610195726671348249e+00
5.917569999999999908e+01 3.363599999999999923e+00 9.808499830207566550e-01 1.601420000000000066e+00
6.128750000000000142e+01 3.300292213491081483e+00 9.855770000000000364e-01 1.592094545661610239e+00
6.351219999999999999e+01 3.238259999999999916e+00 9.893048160573836292e-01 1.581759999999999611e+00
6.573680000000000234e+01 3.180518837701590940e+00 9.918879999999998809e-01 1.570982170597596150e+00
6.807859999999999445e+01 3.123890000000000278e+00 9.935185957208714225e-01 1.559299999999999908e+00
7.042040000000000077e+01 3.071045555704845942e+00 9.941729999999998624e-01 1.547422682419323126e+00
7.288370000000000459e+01 3.019029999999999880e+00 9.939552053073336113e-01 1.534829999999999917e+00
7.534699999999999420e+01 2.970175630973897807e+00 9.929389999999996830e-01 1.522225347223110425e+00
7.793619999999999948e+01 2.921810000000000240e+00 9.911449146658447562e-01 1.509010000000000185e+00
8.052540000000000475e+01 2.876119120805188167e+00 9.887280000000000513e-01 1.495864890652831791e+00
8.324469999999999459e+01 2.830670000000000464e+00 9.856387794679491998e-01 1.482179999999999609e+00
8.596399999999999864e+01 2.787492712215220436e+00 9.820700000000002206e-01 1.468657113386878210e+00
8.881749999999999545e+01 2.744290000000000340e+00 9.778854157717332685e-01 1.454640000000000155e+00
9.167100000000000648e+01 2.702924887767135242e+00 9.732989999999999142e-01 1.440771750824436426e+00
