 j      y+            u_mean            uu+            ww+
 1   0.440135e+00   0.439924e+00   0.299446e-01   0.106635e-01
 2   0.134830e+01   0.134489e+01   0.276311e+00   0.748211e-01
 3   0.231394e+01   0.229913e+01   0.797042e+00   0.176320e+00
 4   0.334055e+01   0.329350e+01   0.159004e+01   0.296728e+00
 5   0.443179e+01   0.431100e+01   0.259333e+01   0.423725e+00
 6   0.559154e+01   0.532881e+01   0.369130e+01   0.550489e+00
 7   0.682388e+01   0.632207e+01   0.475023e+01   0.674118e+00
 8   0.813310e+01   0.726823e+01   0.565860e+01   0.793626e+00
 9   0.952371e+01   0.815021e+01   0.635022e+01   0.908362e+00
10   0.110004e+02   0.895772e+01   0.680584e+01   0.101728e+01
11   0.125683e+02   0.968694e+01   0.704115e+01   0.111891e+01
12   0.142324e+02   0.103392e+02   0.709122e+01   0.121181e+01
13   0.159984e+02   0.109193e+02   0.699780e+01   0.129481e+01
14   0.178718e+02   0.114340e+02   0.680136e+01   0.136734e+01
15   0.198586e+02   0.118908e+02   0.653701e+01   0.142936e+01
16   0.219651e+02   0.122971e+02   0.623325e+01   0.148141e+01
17   0.241978e+02   0.126603e+02   0.591189e+01   0.152434e+01
18   0.265632e+02   0.129865e+02   0.558887e+01   0.155921e+01
19   0.290686e+02   0.132817e+02   0.527520e+01   0.158704e+01
20   0.317210e+02   0.135511e+02   0.497810e+01   0.160863e+01
21   0.345279e+02   0.137990e+02   0.470175e+01   0.162452e+01
22   0.374970e+02   0.140292e+02   0.444803e+01   0.163519e+01
23   0.406364e+02   0.142453e+02   0.421739e+01   0.164106e+01
24   0.439540e+02   0.144500e+02   0.400925e+01   0.164227e+01
25   0.474582e+02   0.146455e+02   0.382209e+01   0.163873e+01
26   0.511574e+02   0.148339e+02   0.365354e+01   0.163050e+01
27   0.550604e+02   0.150167e+02   0.350136e+01   0.161788e+01
28   0.591757e+02   0.151951e+02   0.336360e+01   0.160142e+01
29   0.635122e+02   0.153704e+02   0.323826e+01   0.158176e+01
30   0.680786e+02   0.155436e+02   0.312389e+01   0.155930e+01
31   0.728837e+02   0.157155e+02   0.301903e+01   0.153483e+01
32   0.779362e+02   0.158866e+02   0.292181e+01   0.150901e+01
33   0.832447e+02   0.160575e+02   0.283067e+01   0.148218e+01
34   0.888175e+02   0.162285e+02   0.274429e+01   0.145464e+01
35   0.946626e+02   0.164000e+02   0.266129e+01   0.142629e+01
36   0.100788e+03   0.165720e+02   0.258075e+01   0.139650e+01
37   0.107201e+03   0.167448e+02   0.250209e+01   0.136519e+01
38   0.113907e+03   0.169182e+02   0.242492e+01   0.133260e+01
39   0.120914e+03   0.170919e+02   0.234930e+01   0.129886e+01
40   0.128227e+03   0.172657e+02   0.227551e+01   0.126368e+01
41   0.135851e+03   0.174395e+02   0.220345e+01   0.122686e+01
42   0.143788e+03   0.176129e+02   0.213120e+01   0.118842e+01
43   0.152043e+03   0.177858e+02   0.205645e+01   0.114833e+01
44   0.160615e+03   0.179579e+02   0.197927e+01   0.110756e+01
45   0.169507e+03   0.181296e+02   0.190151e+01   0.106608e+01
46   0.178717e+03   0.183002e+02   0.182377e+01   0.102358e+01
47   0.188242e+03   0.184698e+02   0.174596e+01   0.979785e+00
48   0.198079e+03   0.186377e+02   0.166778e+01   0.933856e+00
49   0.208223e+03   0.188030e+02   0.158835e+01   0.886515e+00
50   0.218666e+03   0.189653e+02   0.150743e+01   0.839137e+00
51   0.229401e+03   0.191236e+02   0.142521e+01   0.792079e+00
52   0.240415e+03   0.192775e+02   0.134115e+01   0.745877e+00
53   0.251698e+03   0.194267e+02   0.125503e+01   0.699545e+00
54   0.263236e+03   0.195701e+02   0.116913e+01   0.653289e+00
55   0.275014e+03   0.197073e+02   0.108384e+01   0.608059e+00
56   0.287013e+03   0.198378e+02   0.100004e+01   0.564136e+00
57   0.299216e+03   0.199595e+02   0.919214e+00   0.523024e+00
58   0.311603e+03   0.200708e+02   0.842135e+00   0.485463e+00
59   0.324151e+03   0.201705e+02   0.769270e+00   0.451700e+00
60   0.336839e+03   0.202572e+02   0.703315e+00   0.422750e+00
61   0.349642e+03   0.203293e+02   0.646440e+00   0.399027e+00
62   0.362536e+03   0.203852e+02   0.601007e+00   0.381283e+00
63   0.375495e+03   0.204228e+02   0.568873e+00   0.369472e+00
64   0.388494e+03   0.204419e+02   0.551791e+00   0.363062e+00
