                        y+                        uu+                        vv+                        ww+                      Diss.                    Diss..1                  Diss..1.1
  2.313940000000000108e+00   7.970420000000000282e-01   1.943075012725783805e-03   1.763200000000000323e-01  -2.966329999999999800e-01  -1.543565332398001482e-03  -4.507219999999999976e-02
  2.811560000000000059e+00   1.155832475436807671e+00   3.651960000000000536e-03   2.341558570642908177e-01  -2.894204174989353229e-01  -2.047429999999999823e-03  -3.935531383684082174e-02
  3.340549999999999908e+00   1.590039999999999676e+00   6.290180778940928502e-03   2.967280000000000473e-01  -2.800320000000000586e-01  -2.564929908073536151e-03  -3.547250000000000403e-02
  3.869540000000000202e+00   2.064006600596212770e+00   9.854059999999999556e-03   3.589446848594360362e-01  -2.695023904191412023e-01  -3.058380000000001167e-03  -3.334951056167297090e-02
  4.431790000000000340e+00   2.593329999999999913e+00   1.471932154440588891e-02   4.237250000000000183e-01  -2.581479999999999886e-01  -3.561699343371148123e-03  -3.255500000000000060e-02
  4.994040000000000035e+00   3.130367753804408348e+00   2.071510000000000018e-02   4.864164076025990768e-01  -2.477206080705171565e-01  -4.051420000000000021e-03  -3.282616816720022868e-02
  5.591540000000000177e+00   3.691300000000000026e+00   2.832787354187910056e-02   5.504890000000001171e-01  -2.382599999999999718e-01  -4.566827672676214943e-03  -3.388399999999999745e-02
  6.189040000000000319e+00   4.225238610503935455e+00   3.718569999999999515e-02   6.118407212232130910e-01  -2.308169347087377365e-01  -5.086689999999999615e-03  -3.537558706526041513e-02
  6.823879999999999946e+00   4.750229999999999286e+00   4.790782952936580019e-02   6.741180000000001060e-01  -2.249709999999999765e-01  -5.653184252853358377e-03  -3.717129999999999740e-02
  7.458719999999998684e+00   5.221478995964194958e+00   5.990309999999999385e-02   7.335224647750048232e-01  -2.209142306743410999e-01  -6.238069999999997471e-03  -3.896976951839400960e-02
  8.133100000000000662e+00   5.658599999999999852e+00   7.394377217947761816e-02   7.936260000000000536e-01  -2.180060000000000053e-01  -6.881166468779300292e-03  -4.075440000000000312e-02
  8.807479999999999976e+00   6.028391500525625446e+00   8.921110000000001539e-02   8.507806645602029594e-01  -2.159452736753244562e-01  -7.543929999999999039e-03  -4.231969042728082886e-02
  9.523709999999999454e+00   6.350219999999999310e+00   1.066393394182028886e-01   9.083620000000000028e-01  -2.141679999999999973e-01  -8.264476672926849427e-03  -4.371110000000000967e-02
  1.023990000000000045e+01   6.603741659196937341e+00   1.251770000000000660e-01   9.628168497890964295e-01  -2.123679022951702744e-01  -8.994939999999999880e-03  -4.481602498072913970e-02
  1.100040000000000084e+01   6.805839999999999890e+00   1.459190650070548156e-01   1.017280000000000184e+00  -2.101660000000000195e-01  -9.772899891156703808e-03  -4.569779999999999676e-02
  1.176099999999999923e+01   6.947421053200670826e+00   1.675940000000000207e-01   1.068344152392454616e+00  -2.074864330678352631e-01  -1.054489999999999941e-02  -4.631142463334849552e-02
  1.256830000000000069e+01   7.041150000000000020e+00   1.914403064805725030e-01   1.118910000000000071e+00  -2.040870000000000184e-01  -1.134871428370859935e-02  -4.671070000000000083e-02
  1.337560000000000038e+01   7.086463340168324798e+00   2.159760000000000013e-01   1.165841719589763015e+00  -2.001396196122243731e-01  -1.212899999999999916e-02  -4.689385156114442288e-02
  1.423240000000000016e+01   7.091219999999999857e+00   2.425779496214572062e-01   1.211810000000000276e+00  -1.954450000000000354e-01  -1.292405143244788890e-02  -4.689480000000000731e-02
  1.508929999999999971e+01   7.060586825032649116e+00   2.695819999999999883e-01   1.253984382588054558e+00  -1.903444176374678998e-01  -1.368000000000000119e-02  -4.673781260746971700e-02
  1.599840000000000018e+01   6.997799999999999798e+00   2.984752104041545895e-01   1.294810000000000016e+00  -1.846150000000000291e-01  -1.443457744366449108e-02  -4.643570000000000336e-02
  1.690749999999999531e+01   6.911627694180622505e+00   3.274430000000000396e-01   1.331863722232779379e+00  -1.786813864465815471e-01  -1.513779999999999987e-02  -4.602810954407743349e-02
  1.787180000000000035e+01   6.801359999999998962e+00   3.580654121217273778e-01   1.367340000000000000e+00  -1.722749999999999837e-01  -1.582581533199132334e-02  -4.550880000000000203e-02
  1.883609999999999829e+01   6.677722910445356597e+00   3.884190000000000142e-01   1.399187878555644637e+00  -1.658533869887053036e-01  -1.645430000000000156e-02  -4.492506958813631546e-02
  1.985859999999999914e+01   6.537010000000001320e+00   4.201453037092908183e-01   1.429359999999999964e+00  -1.591060000000000252e-01  -1.705660068211305516e-02  -4.425570000000000892e-02
  2.088119999999999976e+01   6.390790940738454218e+00   4.512630000000000252e-01   1.456207255311137816e+00  -1.524887042061251474e-01  -1.759509999999999547e-02  -4.355173597628320126e-02
  2.196509999999999962e+01   6.233249999999999069e+00   4.834393210012519204e-01   1.481409999999999894e+00  -1.456669999999999909e-01  -1.809905518481142242e-02  -4.278139999999999721e-02
  2.304909999999999926e+01   6.076007973161017262e+00   5.146800000000000264e-01   1.503642153237168211e+00  -1.390829687584514973e-01  -1.853789999999999952e-02  -4.199767314010435793e-02
  2.419780000000000086e+01   5.911889999999998757e+00   5.466565681693229539e-01   1.524340000000000028e+00  -1.323910000000000087e-01  -1.893614833299567951e-02  -4.116109999999999908e-02
  2.534639999999999915e+01   5.752150858583968684e+00   5.773930000000000451e-01   1.542465712451537296e+00  -1.260108403698734225e-01  -1.927039999999999656e-02  -4.032535763003197021e-02
  2.656319999999999837e+01   5.588870000000000893e+00   6.085363151986259433e-01   1.559209999999999985e+00  -1.195989999999999692e-01  -1.956015163281758784e-02  -3.944570000000000021e-02
