y+ Diss. Diss. Diss..1
1.816330000000000000e+00 -3.017983121918618727e-01 -1.062549999999999996e-03 -5.324558812736426144e-02
2.313940000000000108e+00 -2.966329999999999800e-01 -1.543565332398001699e-03 -4.507219999999999976e-02
2.811560000000000059e+00 -2.894204174989353784e-01 -2.047429999999999823e-03 -3.935531383684082174e-02
3.340549999999999908e+00 -2.800320000000000586e-01 -2.564929908073536151e-03 -3.547250000000000403e-02
3.869540000000000202e+00 -2.695023904191412023e-01 -3.058380000000000300e-03 -3.334951056167295702e-02
4.431790000000000340e+00 -2.581479999999999886e-01 -3.561699343371147689e-03 -3.255500000000000060e-02
4.994040000000000035e+00 -2.477206080705171010e-01 -4.051420000000000889e-03 -3.282616816720022868e-02
5.591540000000000177e+00 -2.382599999999999996e-01 -4.566827672676214943e-03 -3.388400000000000439e-02
6.189040000000000319e+00 -2.308169347087377921e-01 -5.086689999999999615e-03 -3.537558706526041513e-02
6.823879999999999946e+00 -2.249709999999999765e-01 -5.653184252853358377e-03 -3.717129999999999740e-02
7.458719999999999573e+00 -2.209142306743410999e-01 -6.238069999999999206e-03 -3.896976951839402348e-02
8.133100000000000662e+00 -2.180060000000000053e-01 -6.881166468779301160e-03 -4.075440000000001006e-02
8.807479999999999976e+00 -2.159452736753244839e-01 -7.543929999999999907e-03 -4.231969042728084274e-02
9.523709999999999454e+00 -2.141679999999999973e-01 -8.264476672926852896e-03 -4.371110000000000967e-02
1.023990000000000045e+01 -2.123679022951702744e-01 -8.994939999999999880e-03 -4.481602498072915358e-02
1.100040000000000084e+01 -2.101659999999999917e-01 -9.772899891156705543e-03 -4.569779999999999676e-02
1.176099999999999923e+01 -2.074864330678353186e-01 -1.054489999999999941e-02 -4.631142463334847470e-02
1.256830000000000069e+01 -2.040869999999999906e-01 -1.134871428370859935e-02 -4.671069999999999389e-02
1.337560000000000038e+01 -2.001396196122244009e-01 -1.212900000000000089e-02 -4.689385156114442288e-02
1.423240000000000016e+01 -1.954450000000000354e-01 -1.292405143244789063e-02 -4.689480000000000037e-02
1.508929999999999971e+01 -1.903444176374679275e-01 -1.367999999999999945e-02 -4.673781260746972394e-02
1.599840000000000018e+01 -1.846150000000000013e-01 -1.443457744366449282e-02 -4.643570000000000336e-02
1.690749999999999886e+01 -1.786813864465815471e-01 -1.513779999999999987e-02 -4.602810954407744737e-02
1.787180000000000035e+01 -1.722750000000000115e-01 -1.582581533199131987e-02 -4.550880000000000203e-02
1.883609999999999829e+01 -1.658533869887052759e-01 -1.645430000000000156e-02 -4.492506958813630852e-02
1.985859999999999914e+01 -1.591059999999999974e-01 -1.705660068211304822e-02 -4.425570000000000892e-02
2.088119999999999976e+01 -1.524887042061251474e-01 -1.759509999999999894e-02 -4.355173597628319432e-02
2.196509999999999962e+01 -1.456669999999999909e-01 -1.809905518481142242e-02 -4.278140000000000415e-02
2.304909999999999926e+01 -1.390829687584515251e-01 -1.853790000000000299e-02 -4.199767314010435099e-02
2.419780000000000086e+01 -1.323910000000000087e-01 -1.893614833299567604e-02 -4.116109999999999908e-02
2.534639999999999915e+01 -1.260108403698734780e-01 -1.927039999999999656e-02 -4.032535763003197021e-02
2.656319999999999837e+01 -1.195989999999999692e-01 -1.956015163281758784e-02 -3.944569999999999327e-02
2.778010000000000090e+01 -1.135458423955832269e-01 -1.978929999999999925e-02 -3.857595692465347337e-02
2.906859999999999999e+01 -1.075179999999999886e-01 -1.997199329777540541e-02 -3.766959999999999059e-02
3.035709999999999908e+01 -1.018685755904806672e-01 -2.009889999999999941e-02 -3.678157793368232870e-02
3.172100000000000009e+01 -9.628410000000001134e-02 -2.017878321877585035e-02 -3.586430000000000867e-02
3.308480000000000132e+01 -9.108829670901490150e-02 -2.020870000000000305e-02 -3.497249072114795576e-02
3.452790000000000248e+01 -8.598920000000000174e-02 -2.019241272760423020e-02 -3.405640000000000056e-02
3.597090000000000032e+01 -8.127435642308566965e-02 -2.013279999999999931e-02 -3.316782711507317016e-02
3.749699999999999989e+01 -7.667489999999999029e-02 -2.002892245225144918e-02 -3.225609999999999589e-02
3.902320000000000277e+01 -7.244079150755271257e-02 -1.988880000000000162e-02 -3.137138527711944014e-02
4.063640000000000185e+01 -6.832850000000000035e-02 -1.970729686168764747e-02 -3.046560000000000240e-02
4.224960000000000093e+01 -6.455485325615731296e-02 -1.949680000000000163e-02 -2.959045679267840664e-02
4.395400000000000063e+01 -6.090059999999999918e-02 -1.924844462775341866e-02 -2.869990000000000735e-02
4.565840000000000032e+01 -5.755380536265817387e-02 -1.897840000000000291e-02 -2.784477452280233190e-02
4.745819999999999794e+01 -5.432090000000001223e-02 -1.867485554635167633e-02 -2.697879999999999723e-02
4.925800000000000267e+01 -5.136600143980455530e-02 -1.835690000000000238e-02 -2.614905163664615548e-02
5.115740000000000265e+01 -4.851830000000002113e-02 -1.801028605915552458e-02 -2.531159999999999660e-02
5.305689999999999884e+01 -4.591878399187084708e-02 -1.765620000000000037e-02 -2.451232350517437708e-02
5.506040000000000134e+01 -4.341859999999999470e-02 -1.727854177224804819e-02 -2.370890000000000497e-02
5.706389999999999674e+01 -4.114016377748546532e-02 -1.689959999999999726e-02 -2.294397435151178041e-02
5.917569999999999908e+01 -3.895269999999999289e-02 -1.650167790838396806e-02 -2.217639999999999889e-02
6.128750000000000142e+01 -3.695939842731775504e-02 -1.610750000000000029e-02 -2.144573350723393002e-02
6.351219999999999999e+01 -3.504319999999999657e-02 -1.569840719171414906e-02 -2.071470000000000602e-02
6.573680000000000234e+01 -3.329061937399602211e-02 -1.529729999999999805e-02 -2.002244858014246703e-02
6.807859999999999445e+01 -3.160330000000000084e-02 -1.488525759481944093e-02 -1.933380000000000168e-02
7.042040000000000077e+01 -3.006073174045890278e-02 -1.448489999999999674e-02 -1.868398538347535581e-02
7.288370000000000459e+01 -2.857889999999999736e-02 -1.407743661063593985e-02 -1.803890000000000007e-02
7.534699999999999420e+01 -2.722605514369802818e-02 -1.368429999999999647e-02 -1.742982494271242896e-02
7.793619999999999948e+01 -2.592549999999999716e-02 -1.328656556926040289e-02 -1.682660000000000058e-02
8.052540000000000475e+01 -2.473208845328934632e-02 -1.290439999999999990e-02 -1.625949623710592692e-02
8.324469999999998038e+01 -2.357990000000000086e-02 -1.251936767899061199e-02 -1.569919999999999996e-02
8.596399999999999864e+01 -2.251890607311155326e-02 -1.215070000000000039e-02 -1.517100636925271251e-02
8.881749999999998124e+01 -2.149399999999999922e-02 -1.178095438818132362e-02 -1.464709999999999970e-02
9.167100000000000648e+01 -2.055085613753942012e-02 -1.142789999999999952e-02 -1.415070635776271950e-02
9.466259999999999764e+01 -1.964050000000000171e-02 -1.107468156198750976e-02 -1.365879999999999872e-02
9.765430000000000632e+01 -1.880088949928437544e-02 -1.073779999999999873e-02 -1.319537973149892233e-02
1.007879999999999967e+02 -1.798729999999999773e-02 -1.040133404743588674e-02 -1.273819999999999987e-02
1.039210000000000065e+02 -1.723182666421013351e-02 -1.008030000000000037e-02 -1.230723650860952520e-02
1.072009999999999934e+02 -1.649620000000000253e-02 -9.759174679132480087e-03 -1.188119999999999975e-02
1.104800000000000040e+02 -1.581142917501321063e-02 -9.452540000000000595e-03 -1.147818625150949338e-02
