 j        y+           t_mean+        t_rms+           ut+ 
 1   0.440135e+00   0.310835e+00   0.129174e+00   0.200275e-01
 2   0.134830e+01   0.951840e+00   0.395357e+00   0.189839e+00
 3   0.231394e+01   0.163053e+01   0.674472e+00   0.556629e+00
 4   0.334055e+01   0.234301e+01   0.958966e+00   0.112761e+01
 5   0.443179e+01   0.308088e+01   0.123769e+01   0.186942e+01
 6   0.559154e+01   0.383166e+01   0.149857e+01   0.270838e+01
 7   0.682388e+01   0.458032e+01   0.173129e+01   0.355062e+01
 8   0.813310e+01   0.531160e+01   0.192904e+01   0.430905e+01
 9   0.952371e+01   0.601202e+01   0.208889e+01   0.492270e+01
10   0.110004e+02   0.667136e+01   0.221124e+01   0.536286e+01
11   0.125683e+02   0.728311e+01   0.229880e+01   0.562849e+01
12   0.142324e+02   0.784435e+01   0.235563e+01   0.573714e+01
13   0.159984e+02   0.835509e+01   0.238637e+01   0.571589e+01
14   0.178718e+02   0.881752e+01   0.239569e+01   0.559459e+01
15   0.198586e+02   0.923521e+01   0.238800e+01   0.540154e+01
16   0.219651e+02   0.961255e+01   0.236726e+01   0.516135e+01
17   0.241978e+02   0.995418e+01   0.233688e+01   0.489407e+01
18   0.265632e+02   0.102647e+02   0.229965e+01   0.461505e+01
19   0.290686e+02   0.105484e+02   0.225779e+01   0.433550e+01
20   0.317210e+02   0.108094e+02   0.221298e+01   0.406322e+01
21   0.345279e+02   0.110509e+02   0.216650e+01   0.380319e+01
22   0.374970e+02   0.112762e+02   0.211925e+01   0.355830e+01
23   0.406364e+02   0.114878e+02   0.207192e+01   0.332999e+01
24   0.439540e+02   0.116880e+02   0.202503e+01   0.311878e+01
25   0.474582e+02   0.118787e+02   0.197888e+01   0.292427e+01
26   0.511574e+02   0.120612e+02   0.193370e+01   0.274551e+01
27   0.550604e+02   0.122367e+02   0.188968e+01   0.258167e+01
28   0.591757e+02   0.124061e+02   0.184691e+01   0.243165e+01
29   0.635122e+02   0.125707e+02   0.180547e+01   0.229428e+01
30   0.680786e+02   0.127314e+02   0.176546e+01   0.216847e+01
31   0.728837e+02   0.128887e+02   0.172684e+01   0.205279e+01
32   0.779362e+02   0.130436e+02   0.168962e+01   0.194610e+01
33   0.832447e+02   0.131964e+02   0.165379e+01   0.184792e+01
34   0.888175e+02   0.133475e+02   0.161939e+01   0.175798e+01
35   0.946626e+02   0.134971e+02   0.158649e+01   0.167545e+01
36   0.100788e+03   0.136456e+02   0.155499e+01   0.159923e+01
37   0.107201e+03   0.137932e+02   0.152454e+01   0.152779e+01
38   0.113907e+03   0.139400e+02   0.149487e+01   0.146062e+01
39   0.120914e+03   0.140858e+02   0.146595e+01   0.139783e+01
40   0.128227e+03   0.142307e+02   0.143764e+01   0.133869e+01
41   0.135851e+03   0.143749e+02   0.140963e+01   0.128246e+01
42   0.143788e+03   0.145181e+02   0.138170e+01   0.122822e+01
43   0.152043e+03   0.146597e+02   0.135357e+01   0.117457e+01
44   0.160615e+03   0.148001e+02   0.132491e+01   0.112131e+01
45   0.169507e+03   0.149393e+02   0.129558e+01   0.106935e+01
46   0.178717e+03   0.150770e+02   0.126566e+01   0.101841e+01
47   0.188242e+03   0.152129e+02   0.123505e+01   0.967609e+00
48   0.198079e+03   0.153469e+02   0.120348e+01   0.916598e+00
49   0.208223e+03   0.154777e+02   0.117057e+01   0.865478e+00
50   0.218666e+03   0.156053e+02   0.113636e+01   0.813904e+00
51   0.229401e+03   0.157288e+02   0.110115e+01   0.762522e+00
52   0.240415e+03   0.158482e+02   0.106441e+01   0.710216e+00
53   0.251698e+03   0.159627e+02   0.102650e+01   0.656643e+00
54   0.263236e+03   0.160720e+02   0.987229e+00   0.602838e+00
55   0.275014e+03   0.161751e+02   0.947145e+00   0.550089e+00
56   0.287013e+03   0.162709e+02   0.906976e+00   0.498577e+00
57   0.299216e+03   0.163591e+02   0.866684e+00   0.448702e+00
58   0.311603e+03   0.164389e+02   0.827360e+00   0.401572e+00
59   0.324151e+03   0.165091e+02   0.790669e+00   0.357905e+00
60   0.336839e+03   0.165691e+02   0.757257e+00   0.317992e+00
61   0.349642e+03   0.166186e+02   0.727558e+00   0.283451e+00
62   0.362536e+03   0.166567e+02   0.702992e+00   0.256049e+00
63   0.375495e+03   0.166820e+02   0.685464e+00   0.237079e+00
64   0.388494e+03   0.166946e+02   0.676379e+00   0.227084e+00
