   j        y+           t_mean+        t_rms+           ut+    
   1   0.110599e+00   0.110599e+01   0.427415e+00   0.103055e-01
   2   0.335591e+00   0.335576e+01   0.129689e+01   0.958601e-01
   3   0.568392e+00   0.568231e+01   0.219556e+01   0.279985e+00
   4   0.809442e+00   0.808713e+01   0.312205e+01   0.581454e+00
   5   0.105918e+01   0.105690e+02   0.407160e+01   0.102234e+01
   6   0.131805e+01   0.131227e+02   0.503452e+01   0.162464e+01
   7   0.158649e+01   0.157382e+02   0.599513e+01   0.240543e+01
   8   0.186496e+01   0.183997e+02   0.693212e+01   0.337164e+01
   9   0.215388e+01   0.210861e+02   0.782055e+01   0.451573e+01
  10   0.245371e+01   0.237714e+02   0.863491e+01   0.581372e+01
  11   0.276487e+01   0.264263e+02   0.935251e+01   0.722628e+01
  12   0.308781e+01   0.290199e+02   0.995623e+01   0.870264e+01
  13   0.342295e+01   0.315222e+02   0.104362e+02   0.101866e+02
  14   0.377073e+01   0.339069e+02   0.107900e+02   0.116229e+02
  15   0.413156e+01   0.361528e+02   0.110225e+02   0.129632e+02
  16   0.450587e+01   0.382460e+02   0.111438e+02   0.141697e+02
  17   0.489406e+01   0.401789e+02   0.111679e+02   0.152171e+02
  18   0.529653e+01   0.419505e+02   0.111106e+02   0.160923e+02
  19   0.571369e+01   0.435643e+02   0.109882e+02   0.167931e+02
  20   0.614592e+01   0.450277e+02   0.108158e+02   0.173250e+02
  21   0.659361e+01   0.463504e+02   0.106069e+02   0.176994e+02
  22   0.705712e+01   0.475436e+02   0.103728e+02   0.179311e+02
  23   0.753681e+01   0.486188e+02   0.101227e+02   0.180362e+02
  24   0.803304e+01   0.495876e+02   0.986381e+01   0.180313e+02
  25   0.854614e+01   0.504613e+02   0.960142e+01   0.179319e+02
  26   0.907647e+01   0.512503e+02   0.933952e+01   0.177524e+02
  27   0.962433e+01   0.519641e+02   0.908094e+01   0.175057e+02
  28   0.101900e+02   0.526114e+02   0.882765e+01   0.172033e+02
  29   0.107738e+02   0.531998e+02   0.858098e+01   0.168550e+02
  30   0.113760e+02   0.537362e+02   0.834173e+01   0.164697e+02
  31   0.119969e+02   0.542263e+02   0.811037e+01   0.160548e+02
  32   0.126367e+02   0.546753e+02   0.788707e+01   0.156171e+02
  33   0.132956e+02   0.550877e+02   0.767188e+01   0.151625e+02
  34   0.139741e+02   0.554674e+02   0.746475e+01   0.146962e+02
  35   0.146720e+02   0.558176e+02   0.726561e+01   0.142228e+02
  36   0.153899e+02   0.561414e+02   0.707430e+01   0.137463e+02
  37   0.161278e+02   0.564414e+02   0.689060e+01   0.132703e+02
