#                         y+                    alphat+
  4.499850000000000239e-01   8.729091946499395590e-05
  6.867989999999999373e-01   3.155695038852898574e-04
  9.320819999999999661e-01   8.010134155801202803e-04
  1.186280000000000001e+00   1.674924185181173725e-03
  1.449820000000000109e+00   3.096387309623745837e-03
  1.723159999999999803e+00   5.255340116672997490e-03
  2.006749999999999812e+00   8.369598810940947001e-03
  2.301020000000000287e+00   1.269119453179586889e-02
  2.606399999999999828e+00   1.849687106134389677e-02
  2.923340000000000050e+00   2.609429277646488007e-02
  3.252270000000000216e+00   3.581123459703781930e-02
  3.593630000000000102e+00   4.800692046833359566e-02
  3.947830000000000172e+00   6.304531572788744931e-02
  4.315299999999999692e+00   8.133598042340861589e-02
  4.696439999999999948e+00   1.032719031339370958e-01
  5.091669999999999696e+00   1.292980942572769520e-01
  5.501389999999999780e+00   1.598709300648952503e-01
  5.925990000000000535e+00   1.954519927819724223e-01
  6.365859999999999630e+00   2.365599659503617447e-01
  6.821360000000000312e+00   2.836979187237702038e-01
  7.292880000000000251e+00   3.374341891611021271e-01
  7.780750000000000277e+00   3.983772545136798904e-01
  8.285360000000000724e+00   4.670848450160908216e-01
  8.807000000000000384e+00   5.442999815508335892e-01
  9.345939999999998804e+00   6.305836560583594208e-01
  9.902649999999999508e+00   7.266900633082764571e-01
  1.047729999999999961e+01   8.333672143550128197e-01
  1.107019999999999982e+01   9.513049276139214916e-01
  1.168169999999999931e+01   1.081364362831317649e+00
  1.231199999999999939e+01   1.224054112444876274e+00
  1.296139999999999937e+01   1.380523586362143007e+00
  1.362989999999999924e+01   1.550891095564573385e+00
  1.431809999999999938e+01   1.736554375544742346e+00
  1.502599999999999980e+01   1.937836396562801600e+00
  1.575380000000000003e+01   2.154838282274645245e+00
  1.650169999999999959e+01   2.389745930029906873e+00
  1.726989999999999981e+01   2.640266851274630788e+00
  1.805849999999999866e+01   2.909461909628656251e+00
  1.886759999999999948e+01   3.195367157882746056e+00
  1.969739999999999824e+01   3.501584357307383044e+00
  2.054799999999999827e+01   3.823426541743840001e+00
  2.141939999999999955e+01   4.165982751637757886e+00
  2.231180000000000163e+01   4.526408359238998536e+00
  2.322530000000000072e+01   4.900925221327947057e+00
  2.415980000000000061e+01   5.297944500462357098e+00
  2.511540000000000106e+01   5.711737965422938323e+00
  2.609219999999999828e+01   6.137560816477854786e+00
  2.708999999999999986e+01   6.588115679122872770e+00
  2.810910000000000153e+01   7.043094435708561640e+00
  2.914930000000000021e+01   7.531650057879983429e+00
