       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.    
   0.110600e+00   0.107459e-04  -0.338036e+00   0.192245e-04   0.338013e+00   0.738833e-05
   0.335590e+00   0.166603e-03  -0.338213e+00   0.298936e-03   0.337786e+00   0.377422e-04
   0.568390e+00   0.760575e-03  -0.338338e+00   0.135742e-02   0.336311e+00   0.909806e-04
   0.809440e+00   0.217675e-02  -0.338135e+00   0.383041e-02   0.332298e+00   0.170056e-03
   0.105918e+01   0.489276e-02  -0.337325e+00   0.841245e-02   0.324296e+00   0.276161e-03
   0.131805e+01   0.947951e-02  -0.335614e+00   0.157542e-01   0.310789e+00   0.408836e-03
   0.158649e+01   0.165845e-01  -0.332712e+00   0.263039e-01   0.290390e+00   0.566604e-03
   0.186496e+01   0.268946e-01  -0.328388e+00   0.401250e-01   0.262117e+00   0.748129e-03
   0.215388e+01   0.410776e-01  -0.322538e+00   0.567393e-01   0.225675e+00   0.953214e-03
   0.245371e+01   0.597041e-01  -0.315247e+00   0.750565e-01   0.181669e+00   0.118335e-02
   0.276487e+01   0.831591e-01  -0.306813e+00   0.934265e-01   0.131668e+00   0.144107e-02
   0.308781e+01   0.111555e+00  -0.297730e+00   0.109824e+00   0.780795e-01   0.172843e-02
   0.342295e+01   0.144663e+00  -0.288621e+00   0.122133e+00   0.238699e-01   0.204550e-02
   0.377073e+01   0.181872e+00  -0.280132e+00   0.128478e+00  -0.278298e-01   0.238832e-02
   0.413156e+01   0.222198e+00  -0.272832e+00   0.127523e+00  -0.741411e-01   0.274803e-02
   0.450587e+01   0.264331e+00  -0.267115e+00   0.118684e+00  -0.112789e+00   0.311129e-02
   0.489406e+01   0.306732e+00  -0.263150e+00   0.102207e+00  -0.142327e+00   0.346164e-02
   0.529653e+01   0.347758e+00  -0.260877e+00   0.791095e-01  -0.162208e+00   0.378189e-02
   0.571369e+01   0.385800e+00  -0.260034e+00   0.510129e-01  -0.172723e+00   0.405638e-02
