  j      y+            u_mean            uu+            ww+           prms+        omgy_rms+
  1   0.152332e+00   0.151720e+00   0.376660e-02   0.155071e-02   0.226546e+01   0.439664e-02
  2   0.465121e+00   0.463094e+00   0.348197e-01   0.129202e-01   0.226343e+01   0.134289e-01
  3   0.796417e+00   0.792652e+00   0.101571e+00   0.348177e-01   0.226193e+01   0.230025e-01
  4   0.115078e+01   0.114472e+01   0.211039e+00   0.668728e-01   0.226106e+01   0.332328e-01
  5   0.153286e+01   0.152352e+01   0.372258e+00   0.108826e+00   0.226096e+01   0.442091e-01
  6   0.194735e+01   0.193298e+01   0.595917e+00   0.160381e+00   0.226182e+01   0.559786e-01
  7   0.239902e+01   0.237653e+01   0.893456e+00   0.221083e+00   0.226388e+01   0.685289e-01
  8   0.289262e+01   0.285680e+01   0.127542e+01   0.290254e+00   0.226742e+01   0.817716e-01
  9   0.343289e+01   0.337521e+01   0.174898e+01   0.366979e+00   0.227276e+01   0.955312e-01
 10   0.402453e+01   0.393161e+01   0.231493e+01   0.450158e+00   0.228021e+01   0.109545e+00
 11   0.467219e+01   0.452386e+01   0.296482e+01   0.538601e+00   0.229012e+01   0.123475e+00
 12   0.538043e+01   0.514759e+01   0.367918e+01   0.631148e+00   0.230279e+01   0.136938e+00
 13   0.615372e+01   0.579612e+01   0.442802e+01   0.726755e+00   0.231846e+01   0.149537e+00
 14   0.699640e+01   0.646079e+01   0.517385e+01   0.824523e+00   0.233728e+01   0.160909e+00
 15   0.791270e+01   0.713149e+01   0.587670e+01   0.923644e+00   0.235929e+01   0.170754e+00
 16   0.890670e+01   0.779750e+01   0.650009e+01   0.102330e+01   0.238436e+01   0.178871e+00
 17   0.998233e+01   0.844846e+01   0.701593e+01   0.112256e+01   0.241217e+01   0.185161e+00
 18   0.111433e+02   0.907523e+01   0.740741e+01   0.122026e+01   0.244221e+01   0.189624e+00
 19   0.123933e+02   0.967052e+01   0.766942e+01   0.131508e+01   0.247377e+01   0.192345e+00
 20   0.137357e+02   0.102292e+02   0.780690e+01   0.140559e+01   0.250598e+01   0.193464e+00
 21   0.151738e+02   0.107483e+02   0.783219e+01   0.149042e+01   0.253784e+01   0.193154e+00
 22   0.167105e+02   0.112270e+02   0.776203e+01   0.156836e+01   0.256835e+01   0.191598e+00
 23   0.183486e+02   0.116658e+02   0.761509e+01   0.163856e+01   0.259653e+01   0.188979e+00
 24   0.200910e+02   0.120665e+02   0.740999e+01   0.170048e+01   0.262154e+01   0.185469e+00
 25   0.219399e+02   0.124316e+02   0.716401e+01   0.175390e+01   0.264270e+01   0.181233e+00
 26   0.238976e+02   0.127642e+02   0.689232e+01   0.179894e+01   0.265954e+01   0.176425e+00
 27   0.259662e+02   0.130675e+02   0.660764e+01   0.183591e+01   0.267178e+01   0.171188e+00
 28   0.281474e+02   0.133447e+02   0.632025e+01   0.186527e+01   0.267930e+01   0.165656e+00
 29   0.304429e+02   0.135988e+02   0.603818e+01   0.188754e+01   0.268212e+01   0.159951e+00
 30   0.328540e+02   0.138329e+02   0.576729e+01   0.190334e+01   0.268039e+01   0.154182e+00
 31   0.353820e+02   0.140495e+02   0.551151e+01   0.191331e+01   0.267434e+01   0.148447e+00
 32   0.380278e+02   0.142511e+02   0.527314e+01   0.191802e+01   0.266425e+01   0.142823e+00
 33   0.407922e+02   0.144399e+02   0.505320e+01   0.191804e+01   0.265046e+01   0.137370e+00
 34   0.436758e+02   0.146178e+02   0.485185e+01   0.191393e+01   0.263336e+01   0.132131e+00
 35   0.466789e+02   0.147864e+02   0.466872e+01   0.190623e+01   0.261334e+01   0.127136e+00
 36   0.498018e+02   0.149472e+02   0.450295e+01   0.189537e+01   0.259083e+01   0.122401e+00
 37   0.530444e+02   0.151014e+02   0.435339e+01   0.188171e+01   0.256623e+01   0.117929e+00
 38   0.564066e+02   0.152499e+02   0.421878e+01   0.186554e+01   0.253994e+01   0.113718e+00
 39   0.598879e+02   0.153936e+02   0.409763e+01   0.184721e+01   0.251237e+01   0.109759e+00
 40   0.634878e+02   0.155331e+02   0.398838e+01   0.182705e+01   0.248389e+01   0.106041e+00
 41   0.672056e+02   0.156690e+02   0.388978e+01   0.180550e+01   0.245485e+01   0.102547e+00
 42   0.710404e+02   0.158016e+02   0.380065e+01   0.178295e+01   0.242553e+01   0.992611e-01
 43   0.749911e+02   0.159312e+02   0.371963e+01   0.175972e+01   0.239615e+01   0.961694e-01
 44   0.790566e+02   0.160581e+02   0.364534e+01   0.173620e+01   0.236691e+01   0.932562e-01
 45   0.832355e+02   0.161826e+02   0.357660e+01   0.171262e+01   0.233797e+01   0.905062e-01
 46   0.875264e+02   0.163049e+02   0.351254e+01   0.168912e+01   0.230947e+01   0.879063e-01
 47   0.919276e+02   0.164250e+02   0.345234e+01   0.166586e+01   0.228153e+01   0.854455e-01
 48   0.964375e+02   0.165431e+02   0.339531e+01   0.164306e+01   0.225422e+01   0.831123e-01
 49   0.101054e+03   0.166595e+02   0.334112e+01   0.162068e+01   0.222759e+01   0.808965e-01
 50   0.105776e+03   0.167742e+02   0.328959e+01   0.159867e+01   0.220167e+01   0.787910e-01
 51   0.110600e+03   0.168874e+02   0.324043e+01   0.157717e+01   0.217641e+01   0.767900e-01
 52   0.115525e+03   0.169991e+02   0.319325e+01   0.155619e+01   0.215171e+01   0.748869e-01
 53   0.120549e+03   0.171094e+02   0.314767e+01   0.153565e+01   0.212752e+01   0.730743e-01
 54   0.125669e+03   0.172184e+02   0.310346e+01   0.151546e+01   0.210375e+01   0.713456e-01
