  j        y+            vv+           -uv+        -uv/urmsvrms       nu_t+        omgx_rms+      omgz_rms+
  1   0.304663e+00   0.111429e-05   0.282497e-04   0.215844e+00   0.283781e-04   0.237771e+00   0.400562e+00
  2   0.625579e+00   0.169712e-04   0.247248e-03   0.237550e+00   0.248552e-03   0.220615e+00   0.399256e+00
  3   0.967256e+00   0.862295e-04   0.926842e-03   0.256553e+00   0.932873e-03   0.204009e+00   0.398132e+00
  4   0.133430e+01   0.278941e-03   0.246057e-02   0.275499e+00   0.248186e-02   0.187876e+00   0.396644e+00
  5   0.173141e+01   0.704829e-03   0.540783e-02   0.294765e+00   0.547439e-02   0.172345e+00   0.394141e+00
  6   0.216330e+01   0.152298e-02   0.105296e-01   0.314253e+00   0.107224e-01   0.157782e+00   0.389899e+00
  7   0.263475e+01   0.295129e-02   0.188026e-01   0.333667e+00   0.193246e-01   0.144799e+00   0.383236e+00
  8   0.315050e+01   0.527364e-02   0.313901e-01   0.352595e+00   0.327135e-01   0.134200e+00   0.373697e+00
  9   0.371528e+01   0.884294e-02   0.495520e-01   0.370567e+00   0.526905e-01   0.126812e+00   0.361259e+00
 10   0.433378e+01   0.140782e-01   0.744843e-01   0.387103e+00   0.814523e-01   0.123186e+00   0.346482e+00
 11   0.501060e+01   0.214554e-01   0.107102e+00   0.401755e+00   0.121615e+00   0.123308e+00   0.330492e+00
 12   0.575026e+01   0.314910e-01   0.147811e+00   0.414149e+00   0.176243e+00   0.126539e+00   0.314756e+00
 13   0.655717e+01   0.447213e-01   0.196320e+00   0.424007e+00   0.248899e+00   0.131862e+00   0.300660e+00
 14   0.743563e+01   0.616757e-01   0.251576e+00   0.431176e+00   0.343702e+00   0.138217e+00   0.289058e+00
 15   0.838978e+01   0.828462e-01   0.311831e+00   0.435644e+00   0.465398e+00   0.144738e+00   0.280018e+00
 16   0.942363e+01   0.108652e+00   0.374864e+00   0.437547e+00   0.619408e+00   0.150825e+00   0.272929e+00
 17   0.105410e+02   0.139399e+00   0.438282e+00   0.437165e+00   0.811865e+00   0.156124e+00   0.266862e+00
 18   0.117457e+02   0.175238e+00   0.499838e+00   0.434902e+00   0.104958e+01   0.160463e+00   0.260964e+00
 19   0.130410e+02   0.216126e+00   0.557682e+00   0.431240e+00   0.134000e+01   0.163792e+00   0.254675e+00
 20   0.144305e+02   0.261797e+00   0.610503e+00   0.426692e+00   0.169106e+01   0.166131e+00   0.247753e+00
 21   0.159171e+02   0.311759e+00   0.657550e+00   0.421749e+00   0.211099e+01   0.167539e+00   0.240186e+00
 22   0.175038e+02   0.365305e+00   0.698564e+00   0.416831e+00   0.260807e+01   0.168088e+00   0.232078e+00
 23   0.191935e+02   0.421560e+00   0.733661e+00   0.412271e+00   0.319023e+01   0.167855e+00   0.223571e+00
 24   0.209885e+02   0.479532e+00   0.763208e+00   0.408296e+00   0.386453e+01   0.166925e+00   0.214801e+00
 25   0.228913e+02   0.538183e+00   0.787713e+00   0.405044e+00   0.463653e+01   0.165378e+00   0.205890e+00
 26   0.249039e+02   0.596494e+00   0.807739e+00   0.402570e+00   0.550943e+01   0.163293e+00   0.196957e+00
 27   0.270284e+02   0.653512e+00   0.823858e+00   0.400870e+00   0.648352e+01   0.160747e+00   0.188118e+00
 28   0.292664e+02   0.708387e+00   0.836613e+00   0.399900e+00   0.755599e+01   0.157817e+00   0.179459e+00
 29   0.316193e+02   0.760409e+00   0.846499e+00   0.399581e+00   0.872026e+01   0.154571e+00   0.171054e+00
 30   0.340886e+02   0.809017e+00   0.853944e+00   0.399817e+00   0.996534e+01   0.151065e+00   0.162988e+00
 31   0.366753e+02   0.853803e+00   0.859320e+00   0.400511e+00   0.112764e+02   0.147355e+00   0.155337e+00
 32   0.393802e+02   0.894507e+00   0.862948e+00   0.401568e+00   0.126358e+02   0.143502e+00   0.148153e+00
 33   0.422041e+02   0.930995e+00   0.865099e+00   0.402904e+00   0.140242e+02   0.139555e+00   0.141458e+00
 34   0.451474e+02   0.963252e+00   0.866004e+00   0.404439e+00   0.154230e+02   0.135552e+00   0.135249e+00
 35   0.482104e+02   0.991371e+00   0.865860e+00   0.406105e+00   0.168161e+02   0.131525e+00   0.129510e+00
 36   0.513932e+02   0.101552e+01   0.864829e+00   0.407839e+00   0.181901e+02   0.127523e+00   0.124224e+00
 37   0.546956e+02   0.103594e+01   0.863046e+00   0.409591e+00   0.195365e+02   0.123596e+00   0.119357e+00
 38   0.581175e+02   0.105288e+01   0.860624e+00   0.411323e+00   0.208512e+02   0.119765e+00   0.114863e+00
 39   0.616583e+02   0.106665e+01   0.857649e+00   0.413006e+00   0.221299e+02   0.116044e+00   0.110727e+00
 40   0.653173e+02   0.107755e+01   0.854192e+00   0.414618e+00   0.233731e+02   0.112454e+00   0.106905e+00
 41   0.690939e+02   0.108585e+01   0.850322e+00   0.416145e+00   0.245907e+02   0.109004e+00   0.103326e+00
 42   0.729869e+02   0.109185e+01   0.846082e+00   0.417576e+00   0.257872e+02   0.105707e+00   0.999649e-01
 43   0.769953e+02   0.109580e+01   0.841492e+00   0.418909e+00   0.269530e+02   0.102547e+00   0.968202e-01
 44   0.811179e+02   0.109794e+01   0.836571e+00   0.420153e+00   0.280820e+02   0.995209e-01   0.938781e-01
 45   0.853532e+02   0.109848e+01   0.831353e+00   0.421320e+00   0.291845e+02   0.966372e-01   0.911021e-01
 46   0.896996e+02   0.109763e+01   0.825858e+00   0.422415e+00   0.302635e+02   0.939055e-01   0.884699e-01
 47   0.941556e+02   0.109558e+01   0.820091e+00   0.423436e+00   0.313070e+02   0.913086e-01   0.859892e-01
 48   0.987193e+02   0.109251e+01   0.814059e+00   0.424372e+00   0.323013e+02   0.888278e-01   0.836543e-01
 49   0.103389e+03   0.108859e+01   0.807775e+00   0.425203e+00   0.332450e+02   0.864792e-01   0.814529e-01
 50   0.108162e+03   0.108399e+01   0.801258e+00   0.425913e+00   0.341466e+02   0.842556e-01   0.793707e-01
 51   0.113038e+03   0.107880e+01   0.794526e+00   0.426506e+00   0.350193e+02   0.821353e-01   0.773817e-01
 52   0.118013e+03   0.107313e+01   0.787585e+00   0.426984e+00   0.358645e+02   0.801220e-01   0.754817e-01
 53   0.123085e+03   0.106704e+01   0.780444e+00   0.427356e+00   0.366832e+02   0.782251e-01   0.736824e-01
 54   0.128253e+03   0.106051e+01   0.773117e+00   0.427641e+00   0.374869e+02   0.764165e-01   0.719662e-01
 55   0.133513e+03   0.105353e+01   0.765610e+00   0.427860e+00   0.382773e+02   0.746823e-01   0.703084e-01
 56   0.138864e+03   0.104615e+01   0.757925e+00   0.428036e+00   0.390435e+02   0.730238e-01   0.687170e-01
 57   0.144302e+03   0.103841e+01   0.750065e+00   0.428183e+00   0.397768e+02   0.714361e-01   0.671998e-01
 58   0.149826e+03   0.103033e+01   0.742041e+00   0.428313e+00   0.404830e+02   0.699215e-01   0.657422e-01
 59   0.155433e+03   0.102195e+01   0.733863e+00   0.428408e+00   0.411666e+02   0.684785e-01   0.643305e-01
 60   0.161121e+03   0.101333e+01   0.725540e+00   0.428454e+00   0.418283e+02   0.670967e-01   0.629713e-01
 61   0.166886e+03   0.100446e+01   0.717082e+00   0.428455e+00   0.424780e+02   0.657400e-01   0.616519e-01
 62   0.172727e+03   0.995381e+00   0.708490e+00   0.428416e+00   0.430999e+02   0.644092e-01   0.603843e-01
 63   0.178640e+03   0.986161e+00   0.699759e+00   0.428329e+00   0.436678e+02   0.631323e-01   0.591770e-01
 64   0.184624e+03   0.976864e+00   0.690895e+00   0.428170e+00   0.441746e+02   0.619193e-01   0.580246e-01
 65   0.190676e+03   0.967515e+00   0.681908e+00   0.427929e+00   0.446371e+02   0.607615e-01   0.569124e-01
 66   0.196792e+03   0.958120e+00   0.672811e+00   0.427620e+00   0.450780e+02   0.596490e-01   0.558320e-01
 67   0.202972e+03   0.948671e+00   0.663617e+00   0.427260e+00   0.455238e+02   0.585721e-01   0.547586e-01
 68   0.209211e+03   0.939158e+00   0.654330e+00   0.426852e+00   0.459926e+02   0.575231e-01   0.537094e-01
 69   0.215509e+03   0.929574e+00   0.644945e+00   0.426375e+00   0.464515e+02   0.564911e-01   0.526933e-01
 70   0.221862e+03   0.919926e+00   0.635449e+00   0.425808e+00   0.468501e+02   0.554872e-01   0.517220e-01
 71   0.228268e+03   0.910222e+00   0.625845e+00   0.425150e+00   0.471696e+02   0.545214e-01   0.508123e-01
 72   0.234725e+03   0.900420e+00   0.616135e+00   0.424405e+00   0.474058e+02   0.535804e-01   0.499511e-01
 73   0.241231e+03   0.890458e+00   0.606334e+00   0.423580e+00   0.475804e+02   0.526557e-01   0.491088e-01
