#                         y+                      nu_t+
  6.255789999999999962e-01   2.485438080740177426e-04
  9.672559999999998936e-01   9.328279917555158240e-04
  1.334300000000000042e+00   2.481623029144119918e-03
  1.731409999999999894e+00   5.473285630081938490e-03
  2.163300000000000001e+00   1.071953295778228267e-02
  2.634749999999999925e+00   1.931669619765262816e-02
  3.150500000000000078e+00   3.269550670935499059e-02
  3.715280000000000360e+00   5.265055397672426668e-02
  4.333779999999999966e+00   8.137452229332126086e-02
  5.010600000000000165e+00   1.214687533320360363e-01
  5.750259999999999927e+00   1.760014598309116163e-01
  6.557169999999999277e+00   2.485072575352823832e-01
  7.435630000000000628e+00   3.431161600307200965e-01
  8.389780000000000015e+00   4.645740536482406702e-01
  9.423630000000001061e+00   6.183151693036731400e-01
  1.054100000000000037e+01   8.104108333886302917e-01
  1.174569999999999936e+01   1.047851704550920804e+00
  1.304100000000000037e+01   1.337924916732421643e+00
  1.443050000000000033e+01   1.689041643060200881e+00
  1.591709999999999958e+01   2.108161050693917460e+00
  1.750379999999999825e+01   2.604997084064115676e+00
  1.919350000000000023e+01   3.187217470523596052e+00
  2.098849999999999838e+01   3.861884378408513285e+00
  2.289130000000000109e+01   4.633266208335346192e+00
  2.490390000000000015e+01   5.505926154521390892e+00
  2.702840000000000131e+01   6.479188746782048369e+00
  2.926640000000000086e+01   7.555523937712649740e+00
  3.161929999999999907e+01   8.714827882039015705e+00
  3.408859999999999957e+01   9.964613694769074215e+00
  3.667530000000000001e+01   1.127528415222677793e+01
  3.938020000000000209e+01   1.263334346859362611e+01
  4.220409999999999684e+01   1.402024012381536799e+01
  4.514739999999999753e+01   1.542414797298909690e+01
  4.821039999999999992e+01   1.681452550654039513e+01
  5.139320000000000022e+01   1.818342371051488726e+01
  5.469559999999999889e+01   1.954012963157423854e+01
  5.811749999999999972e+01   2.084640773254039559e+01
  6.165829999999999700e+01   2.213205979306177440e+01
  6.531730000000000302e+01   2.336407561859774518e+01
  6.909390000000000498e+01   2.458938735204854353e+01
  7.298690000000000566e+01   2.578950030276918781e+01
  7.699530000000000030e+01   2.695757888432303417e+01
  8.111790000000000589e+01   2.807830971376735718e+01
  8.535320000000000107e+01   2.916333975408211998e+01
  8.969960000000000377e+01   3.026301065450420680e+01
  9.415560000000000684e+01   3.131925060794196725e+01
  9.871930000000000405e+01   3.227967397546623118e+01
  1.033889999999999958e+02   3.325817613779398840e+01
  1.081620000000000061e+02   3.414009932079245857e+01
  1.130379999999999967e+02   3.503128753187456113e+01
  1.180129999999999910e+02   3.587501842078876990e+01
  1.230849999999999937e+02   3.665040935764288577e+01
  1.282529999999999859e+02   3.750181270928761279e+01
  1.335130000000000052e+02   3.827463592468293285e+01
  1.388640000000000043e+02   3.905932376176824050e+01
  1.443020000000000209e+02   3.975072062515980065e+01
  1.498259999999999934e+02   4.049815848995542211e+01
  1.554329999999999927e+02   4.114424647485226672e+01
  1.611210000000000093e+02   4.185093492580208618e+01
  1.668859999999999957e+02   4.245349062116757466e+01
  1.727270000000000039e+02   4.310815317578418160e+01
  1.786399999999999864e+02   4.367153786271581595e+01
  1.846240000000000236e+02   4.419243943401378516e+01
  1.906759999999999877e+02   4.459583997904834973e+01
  1.967920000000000016e+02   4.512507859743594452e+01
  2.029720000000000084e+02   4.545390458099677744e+01
  2.092109999999999843e+02   4.606010639709734278e+01
  2.155090000000000146e+02   4.639053394763050164e+01
  2.218619999999999948e+02   4.688057324648566748e+01
  2.282680000000000007e+02   4.718714075716346912e+01
  2.347249999999999943e+02   4.737213062593993129e+01
  2.412309999999999945e+02   4.758171261545992081e+01
  2.477829999999999870e+02   4.776097732979471289e+01
  2.543790000000000191e+02   4.791019856813400679e+01
  2.610169999999999959e+02   4.805562220596594614e+01
  2.676959999999999695e+02   4.801965278867536568e+01
  2.744130000000000109e+02   4.796316807028316731e+01
  2.811670000000000300e+02   4.794748522830527548e+01
  2.879549999999999841e+02   4.791337609127850783e+01
