  j        y+           t_mean+        t_rms+           ut+        ut/urmstrms        R
  1   0.152332e+00   0.107938e+00   0.459617e-01   0.251772e-02   0.892535e+00   0.691227e+00
  2   0.465121e+00   0.329566e+00   0.140344e+00   0.235692e-01   0.899974e+00   0.684569e+00
  3   0.796417e+00   0.564269e+00   0.240289e+00   0.693203e-01   0.905176e+00   0.676375e+00
  4   0.115078e+01   0.815192e+00   0.347052e+00   0.145092e+00   0.910037e+00   0.669967e+00
  5   0.153286e+01   0.108544e+01   0.461760e+00   0.257722e+00   0.914752e+00   0.665419e+00
  6   0.194735e+01   0.137801e+01   0.585316e+00   0.415402e+00   0.919341e+00   0.662270e+00
  7   0.239902e+01   0.169564e+01   0.718259e+00   0.627167e+00   0.923757e+00   0.659998e+00
  8   0.289262e+01   0.204067e+01   0.860608e+00   0.901877e+00   0.927915e+00   0.658260e+00
  9   0.343289e+01   0.241477e+01   0.101169e+01   0.124660e+01   0.931702e+00   0.657128e+00
 10   0.402453e+01   0.281874e+01   0.117003e+01   0.166448e+01   0.934988e+00   0.657245e+00
 11   0.467219e+01   0.325219e+01   0.133324e+01   0.215253e+01   0.937640e+00   0.659779e+00
 12   0.538043e+01   0.371331e+01   0.149815e+01   0.269991e+01   0.939534e+00   0.666056e+00
 13   0.615372e+01   0.419873e+01   0.166097e+01   0.328747e+01   0.940565e+00   0.676890e+00
 14   0.699640e+01   0.470350e+01   0.181762e+01   0.388908e+01   0.940654e+00   0.691945e+00
 15   0.791270e+01   0.522133e+01   0.196414e+01   0.447467e+01   0.939754e+00   0.709569e+00
 16   0.890670e+01   0.574497e+01   0.209705e+01   0.501428e+01   0.937847e+00   0.727351e+00
 17   0.998233e+01   0.626678e+01   0.221367e+01   0.548210e+01   0.934941e+00   0.743056e+00
 18   0.111433e+02   0.677933e+01   0.231225e+01   0.585947e+01   0.931070e+00   0.755297e+00
 19   0.123933e+02   0.727594e+01   0.239204e+01   0.613628e+01   0.926289e+00   0.763664e+00
 20   0.137357e+02   0.775118e+01   0.245319e+01   0.631076e+01   0.920666e+00   0.768434e+00
 21   0.151738e+02   0.820106e+01   0.249656e+01   0.638812e+01   0.914279e+00   0.770174e+00
 22   0.167105e+02   0.862307e+01   0.252359e+01   0.637859e+01   0.907208e+00   0.769446e+00
 23   0.183486e+02   0.901614e+01   0.253606e+01   0.629545e+01   0.899534e+00   0.766670e+00
 24   0.200910e+02   0.938038e+01   0.253594e+01   0.615324e+01   0.891335e+00   0.762124e+00
 25   0.219399e+02   0.971685e+01   0.252531e+01   0.596642e+01   0.882686e+00   0.755997e+00
 26   0.238976e+02   0.100272e+02   0.250615e+01   0.574837e+01   0.873652e+00   0.748455e+00
 27   0.259662e+02   0.103136e+02   0.248034e+01   0.551081e+01   0.864298e+00   0.739693e+00
 28   0.281474e+02   0.105781e+02   0.244956e+01   0.526358e+01   0.854684e+00   0.729940e+00
 29   0.304429e+02   0.108232e+02   0.241530e+01   0.501463e+01   0.844878e+00   0.719442e+00
 30   0.328540e+02   0.110509e+02   0.237877e+01   0.477005e+01   0.834951e+00   0.708436e+00
 31   0.353820e+02   0.112633e+02   0.234096e+01   0.453416e+01   0.824976e+00   0.697137e+00
 32   0.380278e+02   0.114622e+02   0.230263e+01   0.430977e+01   0.815018e+00   0.685769e+00
 33   0.407922e+02   0.116493e+02   0.226436e+01   0.409853e+01   0.805137e+00   0.674561e+00
 34   0.436758e+02   0.118259e+02   0.222659e+01   0.390125e+01   0.795386e+00   0.663657e+00
 35   0.466789e+02   0.119935e+02   0.218964e+01   0.371809e+01   0.785803e+00   0.653109e+00
 36   0.498018e+02   0.121530e+02   0.215374e+01   0.354880e+01   0.776429e+00   0.643005e+00
 37   0.530444e+02   0.123056e+02   0.211905e+01   0.339289e+01   0.767319e+00   0.633458e+00
 38   0.564066e+02   0.124520e+02   0.208564e+01   0.324970e+01   0.758523e+00   0.624503e+00
 39   0.598879e+02   0.125929e+02   0.205355e+01   0.311835e+01   0.750081e+00   0.616148e+00
 40   0.634878e+02   0.127289e+02   0.202280e+01   0.299790e+01   0.742026e+00   0.608392e+00
