       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.
   0.152332e+00   0.351438e-05  -0.128763e+00   0.815203e-05   0.128753e+00   0.249323e-05
   0.465121e+00   0.559116e-04  -0.128864e+00   0.127004e-03   0.128691e+00   0.957747e-05
   0.796417e+00   0.264527e-03  -0.128964e+00   0.582861e-03   0.128136e+00   0.189462e-04
   0.115078e+01   0.791457e-03  -0.128922e+00   0.167098e-02   0.126490e+00   0.305527e-04
   0.153286e+01   0.187313e-02  -0.128581e+00   0.373872e-02   0.123012e+00   0.436599e-04
   0.194735e+01   0.384184e-02  -0.127772e+00   0.713325e-02   0.116854e+00   0.569766e-04
   0.239902e+01   0.713859e-02  -0.126341e+00   0.120938e-01   0.107178e+00   0.692696e-04
   0.289262e+01   0.123039e-01  -0.124187e+00   0.185953e-01   0.933682e-01   0.806481e-04
   0.343289e+01   0.199296e-01  -0.121323e+00   0.261838e-01   0.753032e-01   0.941432e-04
   0.402453e+01   0.305574e-01  -0.117918e+00   0.338845e-01   0.535930e-01   0.116555e-03
   0.467219e+01   0.445230e-01  -0.114306e+00   0.402716e-01   0.296688e-01   0.157306e-03
   0.538043e+01   0.617731e-01  -0.110924e+00   0.437509e-01   0.562459e-02   0.224795e-03
   0.615372e+01   0.817128e-01  -0.108205e+00   0.430057e-01  -0.161916e-01   0.321506e-03
   0.699640e+01   0.103158e+00  -0.106450e+00   0.374532e-01  -0.337200e-01   0.440692e-03
   0.791270e+01   0.124447e+00  -0.105727e+00   0.275107e-01  -0.456641e-01   0.567268e-03
   0.890670e+01   0.143718e+00  -0.105851e+00   0.145397e-01  -0.517228e-01   0.683307e-03
   0.998233e+01   0.159263e+00  -0.106452e+00   0.477570e-03  -0.525140e-01   0.775277e-03
   0.111433e+02   0.169869e+00  -0.107081e+00  -0.126853e-01  -0.492641e-01   0.838896e-03
   0.123933e+02   0.175008e+00  -0.107333e+00  -0.233771e-01  -0.434182e-01   0.879302e-03
   0.137357e+02   0.174852e+00  -0.106919e+00  -0.307106e-01  -0.363148e-01   0.907111e-03
   0.151738e+02   0.170132e+00  -0.105692e+00  -0.345056e-01  -0.290011e-01   0.933065e-03
   0.167105e+02   0.161907e+00  -0.103629e+00  -0.351344e-01  -0.221802e-01   0.964102e-03
   0.183486e+02   0.151337e+00  -0.100797e+00  -0.332956e-01  -0.162419e-01   0.100254e-02
   0.200910e+02   0.139496e+00  -0.973158e-01  -0.297936e-01  -0.113398e-01   0.104651e-02
   0.219399e+02   0.127266e+00  -0.933241e-01  -0.253754e-01  -0.747510e-02   0.109128e-02
   0.238976e+02   0.115298e+00  -0.889644e-01  -0.206445e-01  -0.455736e-02   0.113136e-02
   0.259662e+02   0.104017e+00  -0.843712e-01  -0.160416e-01  -0.244131e-02   0.116261e-02
   0.281474e+02   0.936607e-01  -0.796619e-01  -0.118475e-01  -0.968662e-03   0.118274e-02
   0.304429e+02   0.843276e-01  -0.749339e-01  -0.820139e-02  -0.214157e-05   0.119025e-02
   0.328540e+02   0.760232e-01  -0.702704e-01  -0.515099e-02   0.584014e-03   0.118585e-02
   0.353820e+02   0.686986e-01  -0.657418e-01  -0.269133e-02   0.905500e-03   0.117097e-02
   0.380278e+02   0.622746e-01  -0.614005e-01  -0.784272e-03   0.105738e-02   0.114719e-02
   0.407922e+02   0.566572e-01  -0.572793e-01   0.635731e-03   0.110241e-02   0.111606e-02
   0.436758e+02   0.517510e-01  -0.533976e-01   0.164611e-02   0.107916e-02   0.107867e-02
   0.466789e+02   0.474657e-01  -0.497661e-01   0.231972e-02   0.101707e-02   0.103635e-02
   0.498018e+02   0.437155e-01  -0.463856e-01   0.272583e-02   0.935246e-03   0.990966e-03
   0.530444e+02   0.404217e-01  -0.432511e-01   0.292948e-02   0.843524e-03   0.943654e-03
   0.564066e+02   0.375150e-01  -0.403528e-01   0.298311e-02   0.749076e-03   0.894444e-03
   0.598879e+02   0.349367e-01  -0.376785e-01   0.292097e-02   0.665351e-03   0.844534e-03
   0.634878e+02   0.326394e-01  -0.352163e-01   0.277567e-02   0.596669e-03   0.795413e-03
   0.672056e+02   0.305840e-01  -0.329522e-01   0.257691e-02   0.539904e-03   0.748617e-03
   0.710404e+02   0.287352e-01  -0.308687e-01   0.235465e-02   0.481859e-03   0.703084e-03
   0.749911e+02   0.270686e-01  -0.289515e-01   0.212749e-02   0.413425e-03   0.658010e-03
   0.790566e+02   0.255663e-01  -0.271918e-01   0.188513e-02   0.356808e-03   0.616433e-03
   0.832355e+02   0.242052e-01  -0.255766e-01   0.163926e-02   0.309008e-03   0.576926e-03
   0.875264e+02   0.229643e-01  -0.240927e-01   0.140428e-02   0.263545e-03   0.539503e-03
   0.919276e+02   0.218322e-01  -0.227313e-01   0.117211e-02   0.230674e-03   0.503748e-03
   0.964375e+02   0.207966e-01  -0.214827e-01   0.946844e-03   0.209462e-03   0.470267e-03
   0.101054e+03   0.198422e-01  -0.203369e-01   0.744258e-03   0.190473e-03   0.440035e-03
   0.105776e+03   0.189548e-01  -0.192830e-01   0.574435e-03   0.164939e-03   0.411242e-03
   0.110600e+03   0.181265e-01  -0.183100e-01   0.425127e-03   0.142893e-03   0.384515e-03
   0.115525e+03   0.173530e-01  -0.174090e-01   0.290718e-03   0.124223e-03   0.358969e-03
   0.120549e+03   0.166314e-01  -0.165735e-01   0.171291e-03   0.106052e-03   0.335208e-03
   0.125669e+03   0.159571e-01  -0.157987e-01   0.651531e-04   0.898180e-04   0.313327e-03
   0.130883e+03   0.153226e-01  -0.150794e-01  -0.290370e-04   0.800141e-04   0.294209e-03
   0.136188e+03   0.147202e-01  -0.144089e-01  -0.107017e-03   0.724337e-04   0.276714e-03
   0.141583e+03   0.141522e-01  -0.137828e-01  -0.173042e-03   0.638408e-04   0.260210e-03
   0.147064e+03   0.136251e-01  -0.131976e-01  -0.237249e-03   0.541567e-04   0.244388e-03
   0.152630e+03   0.131341e-01  -0.126498e-01  -0.300726e-03   0.467020e-04   0.230323e-03
   0.158277e+03   0.126700e-01  -0.121343e-01  -0.358821e-03   0.407195e-04   0.217578e-03
   0.164004e+03   0.122304e-01  -0.116479e-01  -0.408929e-03   0.320514e-04   0.205640e-03
   0.169807e+03   0.118135e-01  -0.111917e-01  -0.452300e-03   0.249413e-04   0.194522e-03
   0.175684e+03   0.114116e-01  -0.107637e-01  -0.486960e-03   0.236782e-04   0.184606e-03
   0.181632e+03   0.110225e-01  -0.103604e-01  -0.510890e-03   0.250158e-04   0.176238e-03
   0.187650e+03   0.106520e-01  -0.997894e-02  -0.527209e-03   0.220583e-04   0.167895e-03
   0.193734e+03   0.102984e-01  -0.961698e-02  -0.537330e-03   0.157257e-04   0.159838e-03
   0.199882e+03   0.995132e-02  -0.927106e-02  -0.538314e-03   0.109730e-04   0.152921e-03
   0.206091e+03   0.960528e-02  -0.893880e-02  -0.524516e-03   0.371256e-05   0.145674e-03
   0.212360e+03   0.926201e-02  -0.862156e-02  -0.503260e-03   0.251877e-05   0.139709e-03
   0.218685e+03   0.892387e-02  -0.831843e-02  -0.474857e-03   0.341451e-05   0.133997e-03
   0.225065e+03   0.859414e-02  -0.802732e-02  -0.441094e-03   0.255174e-05   0.128276e-03
   0.231496e+03   0.827667e-02  -0.774747e-02  -0.411246e-03   0.437611e-05   0.122336e-03
   0.237978e+03   0.797146e-02  -0.747737e-02  -0.384784e-03   0.762429e-05   0.116939e-03
   0.244507e+03   0.767662e-02  -0.721598e-02  -0.353938e-03   0.469492e-05   0.111397e-03
   0.251081e+03   0.739112e-02  -0.696478e-02  -0.320685e-03   0.715869e-06   0.106370e-03
